Calculation accuracy - 1E-07
  i                               (x, y)        f(x, y)                            S         lambda          angle       delta(X)       delta(Y)       delta(f)                     Gradient
 34     (6,22206748E-01, 3,85317893E-01)     1,4306E-01     (4,1518E-02, -3,4359E-02)     -2,4457E-03     1,2458E+00     -1,0154E-04     8,4031E-05     -4,4409E-06     (-3,0179E-01, -3,6467E-01)
 35     (6,22317639E-01, 3,85249566E-01)     1,4306E-01     (-6,4695E-03, 3,9863E-03)     -1,7141E-02     2,0351E+00     1,1089E-04     -6,8327E-05     -4,2747E-06     (-2,5012E-01, -4,0594E-01)
 36     (6,22217797E-01, 3,85332252E-01)     1,4305E-01     (4,0633E-02, -3,3652E-02)     -2,4571E-03     1,2462E+00     -9,9842E-05     8,2687E-05     -4,2962E-06     (-3,0191E-01, -3,6455E-01)
 37     (6,22326680E-01, 3,85264774E-01)     1,4305E-01     (-6,5982E-03, 4,0891E-03)     -1,6502E-02     2,0325E+00     1,0888E-04     -6,7479E-05     -4,1371E-06     (-2,5108E-01, -4,0514E-01)
 38     (6,22228480E-01, 3,85346162E-01)     1,4304E-01     (3,9772E-02, -3,2963E-02)     -2,4691E-03     1,2465E+00     -9,8201E-05     8,1388E-05     -4,1586E-06     (-3,0203E-01, -3,6442E-01)
 39     (6,22335428E-01, 3,85279510E-01)     1,4304E-01     (-6,7290E-03, 4,1936E-03)     -1,5894E-02     2,0299E+00     1,0695E-04     -6,6652E-05     -4,0063E-06     (-2,5202E-01, -4,0437E-01)
 40     (6,22238813E-01, 3,85359645E-01)     1,4304E-01     (3,8932E-02, -3,2291E-02)     -2,4816E-03     1,2469E+00     -9,6615E-05     8,0135E-05     -4,0279E-06     (-3,0216E-01, -3,6430E-01)
 41     (6,22343897E-01, 3,85293796E-01)     1,4303E-01     (-6,8618E-03, 4,2998E-03)     -1,5314E-02     2,0275E+00     1,0508E-04     -6,5848E-05     -3,8820E-06     (-2,5292E-01, -4,0363E-01)
 42     (6,22248815E-01, 3,85372721E-01)     1,4303E-01     (3,8114E-02, -3,1638E-02)     -2,4947E-03     1,2473E+00     -9,5082E-05     7,8925E-05     -3,9036E-06     (-3,0229E-01, -3,6417E-01)
 43     (6,22352104E-01, 3,85307653E-01)     1,4302E-01     (-6,9967E-03, 4,4076E-03)     -1,4763E-02     2,0251E+00     1,0329E-04     -6,5068E-05     -3,7639E-06     (-2,5381E-01, -4,0290E-01)
